topology-name,topologies-per-dim-1,topologies-per-dim-2,dimension-type-1,dimension-type-2,dimensions-count,units-count-1,units-count-2,link-latency-1,link-latency-2,link-bandwidth-1,link-bandwidth-2,nic-latency-1,nic-latency-2,router-latency-1,router-latency-2,hbm-latency-1,hbm-latency-2,hbm-bandwidth-1,hbm-bandwidth-2,hbm-scale-1,hbm-scale-2,links-count-1,links-count-2,scheduling-policy,endpoint-delay,active-chunks-per-dimension,preferred-dataset-splits,boost-mode,all-reduce-implementation,all-gather-implementation,reduce-scatter-implementation,all-to-all-implementation,collective-optimization
Hierarchical,FullyConnected,Switch,P,P,2,4,4,251,419,242.3,38.7,0,0,0,5,489,304,64,319,1,0,7,1,FIFO,1,1,11,1,doubleBinaryTree_doubleBinaryTree,oneDirect,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,localBWAware
Hierarchical,Switch,FullyConnected,N,N,2,4,2,302,266,28.6,116.0,0,0,9,0,443,255,173,347,0,1,1,7,FIFO,4,1,19,0,doubleBinaryTree_doubleBinaryTree,direct_direct,oneDirect,oneRing,localBWAware
Hierarchical,FullyConnected,FullyConnected,N,N,2,8,7,167,36,159.3,85.5,0,0,3,1,92,479,316,316,1,0,7,7,LIFO,6,1,6,1,direct_direct,direct_direct,direct_direct,doubleBinaryTree_doubleBinaryTree,localBWAware
Hierarchical,FullyConnected,Ring,N,N,2,4,7,472,236,99.0,79.0,0,0,7,3,492,267,462,334,0,1,7,2,LIFO,10,1,9,1,direct_direct,ring_ring,ring_ring,direct_direct,baseline
Hierarchical,Switch,Ring,P,P,2,4,4,3,316,15.2,166.1,0,0,3,7,257,193,397,7,1,0,1,2,FIFO,5,1,4,0,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,oneDirect,baseline
Hierarchical,FullyConnected,Switch,N,N,2,3,8,171,344,95.4,13.0,0,0,9,0,454,374,77,101,0,1,7,1,LIFO,10,1,10,0,direct_direct,ring_ring,ring_ring,ring_ring,localBWAware
Hierarchical,Ring,FullyConnected,N,N,2,4,4,305,186,52.2,133.1,0,0,4,0,148,496,77,8,1,0,2,7,LIFO,6,1,29,0,ring_ring,oneRing,direct_direct,ring_ring,baseline
Hierarchical,Ring,FullyConnected,P,P,2,2,5,218,220,183.5,130.4,0,0,0,10,477,454,281,459,1,1,2,7,LIFO,3,1,18,1,ring_ring,ring_ring,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,baseline
Hierarchical,Switch,Switch,N,N,2,8,6,333,258,78.1,65.4,0,0,9,4,258,398,176,418,0,0,1,1,LIFO,7,1,5,0,oneDirect,doubleBinaryTree_doubleBinaryTree,oneDirect,doubleBinaryTree_doubleBinaryTree,localBWAware
Hierarchical,FullyConnected,FullyConnected,P,P,2,8,5,390,45,236.4,110.4,0,0,9,10,273,330,92,297,1,0,7,7,LIFO,3,1,7,1,ring_ring,direct_direct,ring_ring,direct_direct,baseline
Hierarchical,FullyConnected,Switch,P,P,2,4,6,223,77,51.8,145.8,0,0,7,1,303,427,285,421,0,0,7,1,LIFO,4,1,32,0,ring_ring,doubleBinaryTree_doubleBinaryTree,oneRing,oneDirect,baseline
Hierarchical,FullyConnected,FullyConnected,P,P,2,4,2,193,424,109.4,112.4,0,0,7,2,151,170,255,124,0,0,7,7,FIFO,8,1,18,0,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,oneDirect,direct_direct,localBWAware
Hierarchical,Switch,Switch,P,P,2,6,4,413,470,209.3,238.0,0,0,5,10,279,14,177,398,1,0,1,1,FIFO,5,1,6,1,oneRing,oneDirect,ring_ring,direct_direct,baseline
Hierarchical,Ring,Ring,P,P,2,8,2,458,169,205.9,118.9,0,0,0,9,405,54,2,227,1,1,2,2,FIFO,10,1,14,1,oneRing,oneDirect,doubleBinaryTree_doubleBinaryTree,direct_direct,localBWAware
Hierarchical,Ring,FullyConnected,N,N,2,8,2,216,170,166.6,161.7,0,0,6,3,49,362,141,344,1,1,2,7,FIFO,4,1,31,1,oneRing,oneRing,ring_ring,oneDirect,localBWAware
Hierarchical,FullyConnected,Switch,N,N,2,4,6,107,117,139.5,211.0,0,0,6,8,422,165,151,349,1,1,7,1,FIFO,1,1,6,0,oneDirect,oneDirect,doubleBinaryTree_doubleBinaryTree,direct_direct,localBWAware
Hierarchical,Switch,Switch,P,P,2,2,2,162,159,116.7,25.7,0,0,6,6,61,74,418,333,1,0,1,1,LIFO,2,1,20,0,doubleBinaryTree_doubleBinaryTree,ring_ring,oneDirect,doubleBinaryTree_doubleBinaryTree,localBWAware
Hierarchical,Switch,FullyConnected,N,N,2,4,4,279,437,224.8,227.2,0,0,3,10,31,254,410,126,0,0,1,7,LIFO,4,1,12,0,direct_direct,ring_ring,oneDirect,doubleBinaryTree_doubleBinaryTree,localBWAware
Hierarchical,FullyConnected,Ring,N,N,2,8,6,134,275,47.1,13.7,0,0,7,4,407,232,272,331,1,0,7,2,LIFO,10,1,17,1,direct_direct,ring_ring,oneDirect,doubleBinaryTree_doubleBinaryTree,baseline
Hierarchical,Switch,Ring,N,N,2,2,5,290,193,81.7,237.9,0,0,5,8,50,47,370,445,0,1,1,2,FIFO,10,1,25,1,direct_direct,ring_ring,doubleBinaryTree_doubleBinaryTree,doubleBinaryTree_doubleBinaryTree,baseline
Hierarchical,Ring,Switch,N,N,2,8,2,195,326,205.5,80.7,0,0,2,2,385,67,76,330,1,1,2,1,LIFO,10,1,13,0,oneRing,oneRing,ring_ring,oneDirect,baseline
Hierarchical,Ring,FullyConnected,N,N,2,2,7,152,210,116.8,60.1,0,0,1,6,99,264,412,145,0,0,2,7,LIFO,7,1,9,1,direct_direct,ring_ring,direct_direct,ring_ring,localBWAware
Hierarchical,FullyConnected,FullyConnected,N,N,2,4,2,192,242,64.9,196.8,0,0,3,0,361,180,220,469,0,1,7,7,LIFO,5,1,18,0,direct_direct,direct_direct,oneDirect,oneRing,baseline
Hierarchical,Ring,Switch,P,P,2,4,4,31,357,44.6,237.7,0,0,10,6,227,235,68,354,0,1,2,1,LIFO,2,1,26,0,oneDirect,doubleBinaryTree_doubleBinaryTree,oneRing,oneRing,localBWAware
Hierarchical,FullyConnected,FullyConnected,N,N,2,8,8,187,385,99.0,120.5,0,0,9,2,82,107,217,294,0,0,7,7,LIFO,1,1,16,0,oneRing,ring_ring,doubleBinaryTree_doubleBinaryTree,direct_direct,baseline
Hierarchical,Ring,Ring,P,P,2,4,5,40,424,103.0,201.8,0,0,10,10,262,462,79,44,1,0,2,2,LIFO,4,1,29,0,direct_direct,oneRing,ring_ring,oneRing,baseline
Hierarchical,FullyConnected,FullyConnected,N,N,2,4,4,237,17,51.7,224.1,0,0,9,1,278,394,93,241,1,1,7,7,FIFO,5,1,28,0,oneDirect,direct_direct,oneDirect,direct_direct,baseline
