observation-1,observation-2,observation-3,observation-4,observation-5
61642260.502,1.5,0.005,0.005,58897547.792
16398538.235,1.5,0.005,0.005,13653825.525
4838717.593,1.5,0.005,0.005,2094004.883
5871685.582,1.5,0.005,0.005,3126972.872
69565337.28,1.5,0.005,0.005,66820624.57
12119277.566,1.5,0.005,0.005,9374564.856
40302123.543,1.5,0.005,0.005,37557410.833
5775178.663,1.5,0.005,0.005,3030465.953
13279952.14,1.5,0.005,0.005,10535239.43
9973334.641,1.5,0.005,0.005,7228621.931
11276151.422,1.5,0.005,0.005,8531438.712
7067257.28,1.5,0.005,0.005,4322544.57
4268177.915,1.5,0.005,0.005,1523465.205
157567500.568,1.5,0.005,0.005,154822787.858
25786308.484,1.5,0.005,0.005,23041595.774
4161477.316,1.5,0.005,0.005,1416764.606
14440025.94,1.5,0.005,0.005,11695313.23
5490900.875,1.5,0.005,0.005,2746188.165
16510413.465,1.5,0.005,0.005,13765700.755
8145235.399,1.5,0.005,0.005,5400522.689
47069419.506,1.5,0.005,0.005,44324706.796
7889242.538,1.5,0.005,0.005,5144529.828
4367810.496,1.5,0.005,0.005,1623097.786
11980644.765,1.5,0.005,0.005,9235932.055
9629067.33,1.5,0.005,0.005,6884354.62
47038811.185,1.5,0.005,0.005,44294098.475
5098585.041,1.5,0.005,0.005,2353872.331
4493835.797,1.5,0.005,0.005,1749123.087
5889321.008,1.5,0.005,0.005,3144608.298
7360881.352,1.5,0.005,0.005,4616168.642
33459008.212,1.5,0.005,0.005,30714295.502
17557727.365,1.5,0.005,0.005,14813014.655
50787796.175,1.5,0.005,0.005,48043083.465
4632423.017,1.5,0.005,0.005,1887710.307
5521956.732,1.5,0.005,0.005,2777244.022
168313532.621,1.5,0.005,0.005,165568819.911
19508191.355,1.5,0.005,0.005,16763478.645
12050186.482,1.5,0.005,0.005,9305473.772
13509844.931,1.5,0.005,0.005,10765132.221
9331845.704,1.5,0.005,0.005,6587132.994
80054821.555,1.5,0.005,0.005,77310108.845
4712231.846,1.5,0.005,0.005,1967519.136
16350129.764,1.5,0.005,0.005,13605417.054
15308146.422,1.5,0.005,0.005,12563433.712
15880102.487,1.5,0.005,0.005,13135389.777
48129499.164,1.5,0.005,0.005,45384786.454
7827795.941,1.5,0.005,0.005,5083083.231
4174029.9,1.5,0.005,0.005,1429317.19
3746063.615,1.5,0.005,0.005,1001350.905
5461313.599,1.5,0.005,0.005,2716600.889
11206300.843,1.5,0.005,0.005,8461588.133
13385560.73,1.5,0.005,0.005,10640848.02
5152217.522,1.5,0.005,0.005,2407504.812
7885759.469,1.5,0.005,0.005,5141046.759
5265694.812,1.5,0.005,0.005,2520982.102
7824647.783,1.5,0.005,0.005,5079935.073
4863417.428,1.5,0.005,0.005,2118704.718
31606165.611,1.5,0.005,0.005,28861452.901
5774490.526,1.5,0.005,0.005,3029777.816
5611010.078,1.5,0.005,0.005,2866297.368
3891056.777,1.5,0.005,0.005,1146344.067
