2024_04_10_21_48_33,
2024_04_10_21_48_50,
2024_04_10_22_09_58,-inf
2024_04_10_22_09_58,-inf
2024_04_10_22_22_43,3.861536e-12
2024_04_10_22_22_43,-inf
2024_04_11_01_06_40,
2024_04_11_01_27_36,-inf
2024_04_11_01_27_36,-inf
2024_04_11_01_27_36,-inf
2024_04_11_01_27_36,-inf
2024_04_11_01_39_01,5.90248e-12
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
2024_04_11_01_39_02,-inf
