2024_04_12_14_29_02,
2024_04_12_14_30_27,-inf
2024_04_12_14_30_27,-inf
2024_04_12_14_30_30,0.57735026
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_30,-inf
2024_04_12_14_30_33,0.57735026
2024_04_12_14_30_33,-inf
2024_04_12_14_30_36,0.57735026
2024_04_12_14_30_36,-inf
2024_04_12_14_30_36,-inf
2024_04_12_14_30_36,-inf
2024_04_12_14_30_36,-inf
2024_04_12_14_30_36,-inf
2024_04_12_14_30_36,-inf
2024_04_12_14_30_38,0.57735026
2024_04_12_14_30_41,0.57735026
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
2024_04_12_14_30_41,-inf
