K,C,Y,X,R,S,T
96,3,224,224,7,7,1
192,96,56,56,1,1,1
48,192,56,56,3,3,1
192,144,56,56,1,1,1
48,192,56,56,3,3,1
192,192,56,56,1,1,1
48,192,56,56,3,3,1
192,240,56,56,1,1,1
48,192,56,56,3,3,1
192,288,56,56,1,1,1
48,192,56,56,3,3,1
192,336,56,56,1,1,1
48,192,56,56,3,3,1
192,384,56,56,1,1,1
192,192,28,28,1,1,1
48,192,28,28,3,3,1
192,240,28,28,1,1,1
48,192,28,28,3,3,1
192,288,28,28,1,1,1
48,192,28,28,3,3,1
192,336,28,28,1,1,1
48,192,28,28,3,3,1
192,384,28,28,1,1,1
48,192,28,28,3,3,1
192,432,28,28,1,1,1
48,192,28,28,3,3,1
192,480,28,28,1,1,1
48,192,28,28,3,3,1
192,528,28,28,1,1,1
48,192,28,28,3,3,1
192,576,28,28,1,1,1
48,192,28,28,3,3,1
192,624,28,28,1,1,1
48,192,28,28,3,3,1
192,672,28,28,1,1,1
48,192,28,28,3,3,1
192,720,28,28,1,1,1
48,192,28,28,3,3,1
384,768,28,28,1,1,1
192,384,14,14,1,1,1
48,192,14,14,3,3,1
192,432,14,14,1,1,1
48,192,14,14,3,3,1
192,480,14,14,1,1,1
48,192,14,14,3,3,1
192,528,14,14,1,1,1
48,192,14,14,3,3,1
192,576,14,14,1,1,1
48,192,14,14,3,3,1
192,624,14,14,1,1,1
48,192,14,14,3,3,1
192,672,14,14,1,1,1
48,192,14,14,3,3,1
192,720,14,14,1,1,1
48,192,14,14,3,3,1
192,768,14,14,1,1,1
48,192,14,14,3,3,1
192,816,14,14,1,1,1
48,192,14,14,3,3,1
192,864,14,14,1,1,1
48,192,14,14,3,3,1
192,912,14,14,1,1,1
48,192,14,14,3,3,1
192,960,14,14,1,1,1
48,192,14,14,3,3,1
192,1008,14,14,1,1,1
48,192,14,14,3,3,1
192,1056,14,14,1,1,1
48,192,14,14,3,3,1
192,1104,14,14,1,1,1
48,192,14,14,3,3,1
192,1152,14,14,1,1,1
48,192,14,14,3,3,1
192,1200,14,14,1,1,1
48,192,14,14,3,3,1
192,1248,14,14,1,1,1
48,192,14,14,3,3,1
192,1296,14,14,1,1,1
48,192,14,14,3,3,1
192,1344,14,14,1,1,1
48,192,14,14,3,3,1
192,1392,14,14,1,1,1
48,192,14,14,3,3,1
192,1440,14,14,1,1,1
48,192,14,14,3,3,1
192,1488,14,14,1,1,1
48,192,14,14,3,3,1
192,1536,14,14,1,1,1
48,192,14,14,3,3,1
192,1584,14,14,1,1,1
48,192,14,14,3,3,1
192,1632,14,14,1,1,1
48,192,14,14,3,3,1
192,1680,14,14,1,1,1
48,192,14,14,3,3,1
192,1728,14,14,1,1,1
48,192,14,14,3,3,1
192,1776,14,14,1,1,1
48,192,14,14,3,3,1
192,1824,14,14,1,1,1
48,192,14,14,3,3,1
192,1872,14,14,1,1,1
48,192,14,14,3,3,1
192,1920,14,14,1,1,1
48,192,14,14,3,3,1
192,1968,14,14,1,1,1
48,192,14,14,3,3,1
192,2016,14,14,1,1,1
48,192,14,14,3,3,1
192,2064,14,14,1,1,1
48,192,14,14,3,3,1
1056,2112,14,14,1,1,1
192,1056,7,7,1,1,1
48,192,7,7,3,3,1
192,1104,7,7,1,1,1
48,192,7,7,3,3,1
192,1152,7,7,1,1,1
48,192,7,7,3,3,1
192,1200,7,7,1,1,1
48,192,7,7,3,3,1
192,1248,7,7,1,1,1
48,192,7,7,3,3,1
192,1296,7,7,1,1,1
48,192,7,7,3,3,1
192,1344,7,7,1,1,1
48,192,7,7,3,3,1
192,1392,7,7,1,1,1
48,192,7,7,3,3,1
192,1440,7,7,1,1,1
48,192,7,7,3,3,1
192,1488,7,7,1,1,1
48,192,7,7,3,3,1
192,1536,7,7,1,1,1
48,192,7,7,3,3,1
192,1584,7,7,1,1,1
48,192,7,7,3,3,1
192,1632,7,7,1,1,1
48,192,7,7,3,3,1
192,1680,7,7,1,1,1
48,192,7,7,3,3,1
192,1728,7,7,1,1,1
48,192,7,7,3,3,1
192,1776,7,7,1,1,1
48,192,7,7,3,3,1
192,1824,7,7,1,1,1
48,192,7,7,3,3,1
192,1872,7,7,1,1,1
48,192,7,7,3,3,1
192,1920,7,7,1,1,1
48,192,7,7,3,3,1
192,1968,7,7,1,1,1
48,192,7,7,3,3,1
192,2016,7,7,1,1,1
48,192,7,7,3,3,1
192,2064,7,7,1,1,1
48,192,7,7,3,3,1
192,2112,7,7,1,1,1
48,192,7,7,3,3,1
192,2160,7,7,1,1,1
48,192,7,7,3,3,1
