K,C,Y,X,R,S,T
32,3,224,224,3,3,1
1,32,112,112,3,3,2
16,32,112,112,1,1,1
48,16,112,112,1,1,1
1,48,112,112,3,3,2
24,48,56,56,1,1,1
72,24,56,56,1,1,1
1,72,56,56,3,3,2
24,72,56,56,1,1,1
72,24,56,56,1,1,1
1,72,56,56,3,3,2
24,72,56,56,1,1,1
72,24,56,56,1,1,1
1,72,56,56,5,5,2
40,72,28,28,1,1,1
120,40,28,28,1,1,1
1,120,28,28,5,5,2
40,120,28,28,1,1,1
120,40,28,28,1,1,1
1,120,28,28,5,5,2
40,120,28,28,1,1,1
240,40,28,28,1,1,1
1,240,28,28,5,5,2
80,240,14,14,1,1,1
480,80,14,14,1,1,1
1,480,14,14,5,5,2
80,480,14,14,1,1,1
480,80,14,14,1,1,1
1,480,14,14,5,5,2
80,480,14,14,1,1,1
480,80,14,14,1,1,1
1,480,14,14,3,3,2
96,480,14,14,1,1,1
576,96,14,14,1,1,1
1,576,14,14,3,3,2
96,576,14,14,1,1,1
576,96,14,14,1,1,1
1,576,14,14,5,5,2
192,576,7,7,1,1,1
1152,192,7,7,1,1,1
1,1152,7,7,5,5,2
192,1152,7,7,1,1,1
1152,192,7,7,1,1,1
1,1152,7,7,5,5,2
192,1152,7,7,1,1,1
1152,192,7,7,1,1,1
1,1152,7,7,5,5,2
192,1152,7,7,1,1,1
1152,192,7,7,1,1,1
1,1152,7,7,3,3,2
320,1152,7,7,1,1,1
1280,320,7,7,1,1,1
