K,C,Y,X,R,S,T
32,3,224,224,3,3,1
1,32,112,112,3,3,2
16,32,112,112,1,1,1
96,16,112,112,1,1,1
1,96,112,112,3,3,2
24,96,56,56,1,1,1
144,24,56,56,1,1,1
1,144,56,56,3,3,2
24,144,56,56,1,1,1
144,24,56,56,1,1,1
1,144,56,56,3,3,2
32,144,28,28,1,1,1
192,32,28,28,1,1,1
1,192,28,28,3,3,2
32,192,28,28,1,1,1
192,32,28,28,1,1,1
1,192,28,28,3,3,2
32,192,28,28,1,1,1
192,32,28,28,1,1,1
1,192,28,28,3,3,2
64,192,14,14,1,1,1
384,64,14,14,1,1,1
1,384,14,14,3,3,2
64,384,14,14,1,1,1
384,64,14,14,1,1,1
1,384,14,14,3,3,2
64,384,14,14,1,1,1
384,64,14,14,1,1,1
1,384,14,14,3,3,2
64,384,14,14,1,1,1
384,64,14,14,1,1,1
1,384,14,14,3,3,2
96,384,14,14,1,1,1
576,96,14,14,1,1,1
1,576,14,14,3,3,2
96,576,14,14,1,1,1
576,96,14,14,1,1,1
1,576,14,14,3,3,2
96,576,14,14,1,1,1
576,96,14,14,1,1,1
1,576,14,14,3,3,2
160,576,7,7,1,1,1
960,160,7,7,1,1,1
1,960,7,7,3,3,2
160,960,7,7,1,1,1
960,160,7,7,1,1,1
1,960,7,7,3,3,2
160,960,7,7,1,1,1
960,160,7,7,1,1,1
1,960,7,7,3,3,2
320,960,7,7,1,1,1
1280,320,7,7,1,1,1
