K,C,Y,X,R,S,T
64,3,224,224,7,7,1
64,64,56,56,1,1,1
64,64,56,56,3,3,1
256,64,56,56,1,1,1
256,64,56,56,1,1,1
64,256,56,56,1,1,1
64,64,56,56,3,3,1
256,64,56,56,1,1,1
64,256,56,56,1,1,1
64,64,56,56,3,3,1
256,64,56,56,1,1,1
128,256,56,56,1,1,1
128,128,56,56,3,3,1
512,128,28,28,1,1,1
512,256,56,56,1,1,1
128,512,28,28,1,1,1
128,128,28,28,3,3,1
512,128,28,28,1,1,1
128,512,28,28,1,1,1
128,128,28,28,3,3,1
512,128,28,28,1,1,1
128,512,28,28,1,1,1
128,128,28,28,3,3,1
512,128,28,28,1,1,1
256,512,28,28,1,1,1
256,256,28,28,3,3,1
1024,256,14,14,1,1,1
1024,512,28,28,1,1,1
256,1024,14,14,1,1,1
256,256,14,14,3,3,1
1024,256,14,14,1,1,1
256,1024,14,14,1,1,1
256,256,14,14,3,3,1
1024,256,14,14,1,1,1
256,1024,14,14,1,1,1
256,256,14,14,3,3,1
1024,256,14,14,1,1,1
256,1024,14,14,1,1,1
256,256,14,14,3,3,1
1024,256,14,14,1,1,1
256,1024,14,14,1,1,1
256,256,14,14,3,3,1
1024,256,14,14,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
2048,512,7,7,1,1,1
2048,1024,14,14,1,1,1
512,2048,7,7,1,1,1
512,512,7,7,3,3,1
2048,512,7,7,1,1,1
512,2048,7,7,1,1,1
512,512,7,7,3,3,1
2048,512,7,7,1,1,1
