K,C,Y,X,R,S,T
64,3,224,224,7,7,1
128,64,56,56,1,1,1
128,128,56,56,3,3,1
256,128,56,56,1,1,1
256,64,56,56,1,1,1
128,256,56,56,1,1,1
128,128,56,56,3,3,1
256,128,56,56,1,1,1
128,256,56,56,1,1,1
128,128,56,56,3,3,1
256,128,56,56,1,1,1
256,256,56,56,1,1,1
256,256,56,56,3,3,1
512,256,28,28,1,1,1
512,256,56,56,1,1,1
256,512,28,28,1,1,1
256,256,28,28,3,3,1
512,256,28,28,1,1,1
256,512,28,28,1,1,1
256,256,28,28,3,3,1
512,256,28,28,1,1,1
256,512,28,28,1,1,1
256,256,28,28,3,3,1
512,256,28,28,1,1,1
512,512,28,28,1,1,1
512,512,28,28,3,3,1
1024,512,14,14,1,1,1
1024,512,28,28,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
1024,512,14,14,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
1024,512,14,14,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
1024,512,14,14,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
1024,512,14,14,1,1,1
512,1024,14,14,1,1,1
512,512,14,14,3,3,1
1024,512,14,14,1,1,1
1024,1024,14,14,1,1,1
1024,1024,14,14,3,3,1
2048,1024,7,7,1,1,1
2048,1024,14,14,1,1,1
1024,2048,7,7,1,1,1
1024,1024,7,7,3,3,1
2048,1024,7,7,1,1,1
1024,2048,7,7,1,1,1
1024,1024,7,7,3,3,1
2048,1024,7,7,1,1,1
