K,C,Y,X,R,S,T
96,3,224,224,7,7,1
16,96,54,54,1,1,1
64,16,54,54,1,1,1
64,16,54,54,3,3,1
16,128,54,54,1,1,1
64,16,54,54,1,1,1
64,16,54,54,3,3,1
32,128,54,54,1,1,1
128,32,54,54,1,1,1
128,32,54,54,3,3,1
32,256,27,27,1,1,1
128,32,27,27,1,1,1
128,32,27,27,3,3,1
48,256,27,27,1,1,1
192,48,27,27,1,1,1
192,48,27,27,3,3,1
48,384,27,27,1,1,1
192,48,27,27,1,1,1
192,48,27,27,3,3,1
64,384,27,27,1,1,1
256,64,27,27,1,1,1
256,64,27,27,3,3,1
64,512,13,13,1,1,1
256,64,13,13,1,1,1
256,64,13,13,3,3,1
1000,512,13,13,1,1,1
